Prscrbr_NPI,Physician_Name,Specialty,City,State,Sales_Rep,Sales_Rep_Name,Territory,HCP_Tier,Target_Calls,Actual_Calls,Samples_Dropped
1001000001,Dr. Margaret Thomas,Pain Management,Portland,OR,REP-H148,Harvey Sterling,TERR-H12,2,10,6,4
1001000002,Dr. Mary Rivera,Pain Management,Miami,FL,REP-H121,Helen Finch,TERR-H09,2,14,11,7
1001000003,Dr. Richard Davis,Neurology,Denver,CO,REP-H331,Hugh Thornton,TERR-H03,1,16,10,1
1001000004,Dr. Emily Wilson,Pain Management,Detroit,MI,REP-H167,Heather Hayes,TERR-H07,2,8,5,4
1001000005,Dr. Emily Young,Oncology,Philadelphia,PA,REP-H360,Hattie Blackwood,TERR-H08,3,4,3,4
1001000006,Dr. Richard Campbell,Oncology,Nashville,TN,REP-H210,Hope Bishop,TERR-H02,2,2,2,0
1001000007,Dr. Rebecca Lopez,Psychiatry,Austin,TX,REP-H376,Hayden Whitman,TERR-H12,1,6,5,6
1001000008,Dr. Sarah Nelson,Internal Medicine,Charlotte,NC,REP-H245,Henry Conway,TERR-H01,2,7,4,0
1001000009,Dr. Dorothy Mitchell,Pain Management,Los Angeles,CA,REP-H169,Harrison Hayes,TERR-H09,2,13,11,6
1001000010,Dr. Sarah Jackson,Internal Medicine,Columbus,OH,REP-H188,Harvey Monroe,TERR-H04,2,13,9,6
1001000011,Dr. John King,Pain Management,Atlanta,GA,REP-H292,Hilary Gallagher,TERR-H12,3,5,2,3
1001000012,Dr. Dorothy Campbell,Anesthesiology,Portland,OR,REP-H345,Henry Blackwood,TERR-H05,2,10,3,0
1001000013,Dr. Barbara Johnson,Neurology,Jacksonville,FL,REP-H378,Hilda Whitman,TERR-H02,2,7,4,3
1001000014,Dr. John Thompson,Anesthesiology,Miami,FL,REP-H333,Hector Thornton,TERR-H05,2,10,8,2
1001000015,Dr. Sarah Torres,Orthopedics,Detroit,MI,REP-H128,Harvey Finch,TERR-H04,3,5,4,3
1001000016,Dr. Richard Harris,Orthopedics,Baltimore,MD,REP-H294,Hazel Gallagher,TERR-H02,1,10,8,6
1001000017,Dr. Karen Johnson,Pain Management,Charlotte,NC,REP-H204,Hannah Bishop,TERR-H08,3,5,4,5
1001000018,Dr. Kathleen Williams,Neurology,Houston,TX,REP-H241,Helen Conway,TERR-H09,2,2,1,1
1001000019,Dr. Jennifer Anderson,Pain Management,Jacksonville,FL,REP-H174,Hazel Hayes,TERR-H02,2,5,3,1
1001000020,Dr. Nancy Moore,Pain Management,Austin,TX,REP-H183,Howard Monroe,TERR-H11,2,15,8,1
1001000021,Dr. Barbara Torres,Anesthesiology,Los Angeles,CA,REP-H350,Hope Blackwood,TERR-H10,2,8,6,5
1001000022,Dr. David Robinson,Emergency Medicine,Charlotte,NC,REP-H201,Helen Bishop,TERR-H05,1,7,6,3
1001000023,Dr. Sharon Scott,Anesthesiology,Atlanta,GA,REP-H223,Howard Sinclair,TERR-H03,3,4,3,1
1001000024,Dr. Laura Carter,Oncology,Las Vegas,NV,REP-H289,Harrison Gallagher,TERR-H09,2,8,6,1
1001000025,Dr. Sarah Lewis,Palliative Care,Detroit,MI,REP-H325,Henry Thornton,TERR-H09,2,8,7,6
1001000026,Dr. Barbara Lewis,Palliative Care,Charlotte,NC,REP-H224,Hannah Sinclair,TERR-H04,2,10,8,8
1001000027,Dr. Richard Williams,Oncology,Atlanta,GA,REP-H125,Henry Finch,TERR-H01,2,8,6,1
1001000028,Dr. Kathleen Garcia,Anesthesiology,Detroit,MI,REP-H383,Howard Carrington,TERR-H07,2,4,3,2
1001000029,Dr. Elizabeth Gonzalez,Oncology,Chicago,IL,REP-H272,Hilary Mercer,TERR-H04,2,15,14,5
1001000030,Dr. Sarah Lee,Oncology,Austin,TX,REP-H109,Harrison Vance,TERR-H09,2,11,10,5
1001000031,Dr. Mary Anderson,Pain Management,Jacksonville,FL,REP-H352,Hilary Blackwood,TERR-H12,2,16,14,14
1001000032,Dr. Donna Williams,Pain Management,Jacksonville,FL,REP-H255,Homer Conway,TERR-H11,2,9,6,0
1001000033,Dr. Ashley Lee,Pain Management,Charlotte,NC,REP-H276,Hayden Mercer,TERR-H08,1,15,11,7
1001000034,Dr. Sarah Anderson,Pain Management,Houston,TX,REP-H165,Henry Hayes,TERR-H05,2,3,1,0
1001000035,Dr. Mary Campbell,Pain Management,Seattle,WA,REP-H286,Holly Gallagher,TERR-H06,2,10,8,7
1001000036,Dr. Richard Robinson,Pain Management,New York,NY,REP-H253,Hector Conway,TERR-H09,2,5,5,0
1001000037,Dr. Jessica Nguyen,Palliative Care,Miami,FL,REP-H320,Hattie Kensington,TERR-H04,1,11,8,9
1001000038,Dr. Richard Campbell,Oncology,Los Angeles,CA,REP-H149,Harrison Sterling,TERR-H01,2,9,5,3
1001000039,Dr. Charles Thomas,Palliative Care,Portland,OR,REP-H134,Hazel Finch,TERR-H10,3,6,3,0
1001000040,Dr. Patricia Carter,Oncology,Portland,OR,REP-H273,Hector Mercer,TERR-H05,2,12,10,7
1001000041,Dr. Barbara Williams,Pain Management,New York,NY,REP-H228,Harvey Sinclair,TERR-H08,2,10,8,8
1001000042,Dr. Jessica Lee,Internal Medicine,Austin,TX,REP-H278,Hilda Mercer,TERR-H10,2,4,3,2
1001000043,Dr. Kimberly Green,Neurology,New York,NY,REP-H259,Holden Conway,TERR-H03,2,5,3,3
1001000044,Dr. Kathleen Walker,Pain Management,Jacksonville,FL,REP-H138,Hilda Finch,TERR-H02,2,11,9,4
1001000045,Dr. Kathleen Rivera,Pain Management,Denver,CO,REP-H288,Harvey Gallagher,TERR-H08,2,14,12,12
1001000046,Dr. Stephanie Davis,Pain Management,Chicago,IL,REP-H225,Henry Sinclair,TERR-H05,1,13,8,5
1001000047,Dr. Carol White,Pain Management,Las Vegas,NV,REP-H159,Holden Sterling,TERR-H11,3,6,5,1
1001000048,Dr. Charles Jackson,Pain Management,Chicago,IL,REP-H388,Harvey Carrington,TERR-H12,2,6,6,2
1001000049,Dr. Donna Lewis,Internal Medicine,Phoenix,AZ,REP-H185,Henry Monroe,TERR-H01,2,7,6,4
1001000050,Dr. Sharon Green,Neurology,Seattle,WA,REP-H322,Harold Thornton,TERR-H06,2,5,3,2
1001000051,Dr. Emily Brown,Neurology,Portland,OR,REP-H157,Hunter Sterling,TERR-H09,2,4,3,0
1001000052,Dr. James White,Internal Medicine,Portland,OR,REP-H353,Hector Blackwood,TERR-H01,2,2,2,3
1001000053,Dr. Mary Hall,Pain Management,Denver,CO,REP-H107,Heather Vance,TERR-H07,3,2,1,1
1001000054,Dr. Barbara Carter,Pain Management,New York,NY,REP-H172,Hilary Hayes,TERR-H12,2,8,6,4
1001000055,Dr. Sharon Perez,Oncology,Denver,CO,REP-H295,Homer Gallagher,TERR-H03,3,2,1,2
1001000056,Dr. Sharon Lee,Pain Management,Las Vegas,NV,REP-H277,Hunter Mercer,TERR-H09,2,10,7,0
1001000057,Dr. Michelle Miller,Palliative Care,Los Angeles,CA,REP-H276,Hayden Mercer,TERR-H08,2,8,5,4
1001000058,Dr. Carol King,Oncology,Atlanta,GA,REP-H125,Henry Finch,TERR-H01,2,4,3,2
1001000059,Dr. Susan Scott,Oncology,Denver,CO,REP-H269,Harrison Mercer,TERR-H01,1,12,10,8
1001000060,Dr. David Wilson,Neurology,Phoenix,AZ,REP-H162,Harold Hayes,TERR-H02,2,5,2,0
1001000061,Dr. Margaret Walker,Neurology,Detroit,MI,REP-H186,Holly Monroe,TERR-H02,1,7,5,2
1001000062,Dr. Melissa Brown,Oncology,New York,NY,REP-H359,Holden Blackwood,TERR-H07,2,13,12,0
1001000063,Dr. Sharon Harris,Orthopedics,New York,NY,REP-H170,Hope Hayes,TERR-H10,2,4,2,1
1001000064,Dr. Kimberly Walker,Internal Medicine,Charlotte,NC,REP-H131,Hugh Finch,TERR-H07,3,2,1,0
1001000065,Dr. Joseph White,Emergency Medicine,Portland,OR,REP-H250,Hope Conway,TERR-H06,1,4,0,1
1001000066,Dr. Nancy Allen,Neurology,Denver,CO,REP-H147,Heather Sterling,TERR-H11,1,13,10,6
1001000067,Dr. Charles Lewis,Oncology,Chicago,IL,REP-H255,Homer Conway,TERR-H11,2,15,10,2
1001000068,Dr. Emily Martin,Pain Management,Chicago,IL,REP-H149,Harrison Sterling,TERR-H01,3,5,4,2
1001000069,Dr. Amanda Adams,Pain Management,New York,NY,REP-H293,Hector Gallagher,TERR-H01,2,7,4,1
1001000070,Dr. Ashley Green,Palliative Care,Detroit,MI,REP-H171,Hugh Hayes,TERR-H11,2,15,10,5
1001000071,Dr. Mary Campbell,Internal Medicine,New York,NY,REP-H138,Hilda Finch,TERR-H02,2,4,3,0
1001000072,Dr. Amanda King,Internal Medicine,Phoenix,AZ,REP-H176,Hayden Hayes,TERR-H04,2,2,1,0
1001000073,Dr. Thomas Torres,Oncology,Austin,TX,REP-H143,Howard Sterling,TERR-H07,1,8,6,5
1001000074,Dr. Thomas Carter,Neurology,Phoenix,AZ,REP-H274,Hazel Mercer,TERR-H06,1,5,3,3
1001000075,Dr. Lisa Campbell,Pain Management,Atlanta,GA,REP-H118,Hilda Vance,TERR-H06,3,2,1,1
1001000076,Dr. Margaret Adams,Pain Management,Portland,OR,REP-H176,Hayden Hayes,TERR-H04,2,11,8,8
1001000077,Dr. Rebecca Harris,Oncology,Phoenix,AZ,REP-H301,Helen Kensington,TERR-H09,2,6,5,3
1001000078,Dr. Sharon Lopez,Palliative Care,Las Vegas,NV,REP-H304,Hannah Kensington,TERR-H12,2,6,5,4
1001000079,Dr. Patricia Jones,Pain Management,New York,NY,REP-H222,Harold Sinclair,TERR-H02,1,16,10,2
1001000080,Dr. John Miller,Palliative Care,Phoenix,AZ,REP-H328,Harvey Thornton,TERR-H12,1,14,12,9
1001000081,Dr. Donna Martin,Pain Management,Austin,TX,REP-H227,Heather Sinclair,TERR-H07,1,14,13,7
1001000082,Dr. Nancy King,Palliative Care,Philadelphia,PA,REP-H171,Hugh Hayes,TERR-H11,2,15,12,0
1001000083,Dr. Betty Nguyen,Orthopedics,Nashville,TN,REP-H319,Holden Kensington,TERR-H03,2,7,5,4
1001000084,Dr. Barbara Allen,Emergency Medicine,Detroit,MI,REP-H189,Harrison Monroe,TERR-H05,2,5,4,0
1001000085,Dr. Betty King,Anesthesiology,Houston,TX,REP-H332,Hilary Thornton,TERR-H04,1,14,12,11
1001000086,Dr. Michael Ramirez,Neurology,Miami,FL,REP-H338,Hilda Thornton,TERR-H10,2,8,7,8
1001000087,Dr. Kimberly Young,Oncology,Los Angeles,CA,REP-H243,Howard Conway,TERR-H11,2,9,5,2
1001000088,Dr. Nancy Jackson,Family Practice,Miami,FL,REP-H292,Hilary Gallagher,TERR-H12,2,2,1,1
1001000089,Dr. Sarah Miller,Oncology,Miami,FL,REP-H202,Harold Bishop,TERR-H06,2,10,8,0
1001000090,Dr. Deborah Wilson,Pain Management,Charlotte,NC,REP-H343,Howard Blackwood,TERR-H03,1,16,11,4
1001000091,Dr. Michelle Perez,Oncology,Charlotte,NC,REP-H364,Hannah Whitman,TERR-H12,2,7,7,4
1001000092,Dr. Laura Baker,Oncology,Philadelphia,PA,REP-H109,Harrison Vance,TERR-H09,2,7,4,5
1001000093,Dr. Donna Carter,Palliative Care,Charlotte,NC,REP-H317,Hunter Kensington,TERR-H01,2,14,12,4
1001000094,Dr. Lisa Anderson,Family Practice,New York,NY,REP-H277,Hunter Mercer,TERR-H09,2,5,4,0
1001000095,Dr. Linda Sanchez,Pain Management,Seattle,WA,REP-H302,Harold Kensington,TERR-H10,3,6,4,0
1001000096,Dr. Betty Perez,Pain Management,Charlotte,NC,REP-H309,Harrison Kensington,TERR-H05,2,11,10,3
1001000097,Dr. Linda Jackson,Pain Management,Los Angeles,CA,REP-H319,Holden Kensington,TERR-H03,3,5,3,2
1001000098,Dr. Lisa Taylor,Palliative Care,Columbus,OH,REP-H122,Harold Finch,TERR-H10,2,6,4,3
1001000099,Dr. Michelle Clark,Palliative Care,Houston,TX,REP-H250,Hope Conway,TERR-H06,1,16,14,4
1001000100,Dr. Melissa Wright,Family Practice,Denver,CO,REP-H352,Hilary Blackwood,TERR-H12,2,5,4,1
1001000101,Dr. Susan Scott,Internal Medicine,Phoenix,AZ,REP-H109,Harrison Vance,TERR-H09,2,8,6,4
1001000102,Dr. Richard Nguyen,Pain Management,Boston,MA,REP-H146,Holly Sterling,TERR-H10,2,7,4,2
1001000103,Dr. Elizabeth Wilson,Orthopedics,New York,NY,REP-H111,Hugh Vance,TERR-H11,2,4,2,3
1001000104,Dr. Patricia Nelson,Anesthesiology,Las Vegas,NV,REP-H367,Heather Whitman,TERR-H03,3,2,1,0
1001000105,Dr. Laura Torres,Pain Management,Seattle,WA,REP-H368,Harvey Whitman,TERR-H04,2,8,6,1
1001000106,Dr. Thomas Wilson,Pain Management,Las Vegas,NV,REP-H213,Hector Bishop,TERR-H05,2,6,5,6
1001000107,Dr. Sharon Sanchez,Pain Management,Las Vegas,NV,REP-H132,Hilary Finch,TERR-H08,1,16,11,12
1001000108,Dr. Carol Hernandez,Family Practice,Nashville,TN,REP-H375,Homer Whitman,TERR-H11,2,8,7,2
1001000109,Dr. Kimberly Lopez,Oncology,Seattle,WA,REP-H257,Hunter Conway,TERR-H01,3,5,4,2
1001000110,Dr. Elizabeth Miller,Anesthesiology,Detroit,MI,REP-H151,Hugh Sterling,TERR-H03,2,6,5,0
1001000111,Dr. William Ramirez,Pain Management,Portland,OR,REP-H178,Hilda Hayes,TERR-H06,2,11,10,5
1001000112,Dr. Charles Wilson,Orthopedics,Jacksonville,FL,REP-H127,Heather Finch,TERR-H03,2,12,10,4
1001000113,Dr. Patricia Brown,Pain Management,Charlotte,NC,REP-H177,Hunter Hayes,TERR-H05,2,10,6,7
1001000114,Dr. Susan Lewis,Anesthesiology,Las Vegas,NV,REP-H139,Holden Finch,TERR-H03,1,15,13,11
1001000115,Dr. Laura Wright,Internal Medicine,Seattle,WA,REP-H133,Hector Finch,TERR-H09,2,4,3,0
1001000116,Dr. Michelle Nelson,Oncology,Jacksonville,FL,REP-H202,Harold Bishop,TERR-H06,2,11,8,0
1001000117,Dr. Robert Perez,Family Practice,Philadelphia,PA,REP-H206,Holly Bishop,TERR-H10,2,6,3,0
1001000118,Dr. Joseph Torres,Anesthesiology,New York,NY,REP-H237,Hunter Sinclair,TERR-H05,2,11,6,7
1001000119,Dr. James Lopez,Anesthesiology,Detroit,MI,REP-H329,Harrison Thornton,TERR-H01,1,15,13,9
1001000120,Dr. Karen Allen,Pain Management,Los Angeles,CA,REP-H271,Hugh Mercer,TERR-H03,2,4,3,1
1001000121,Dr. Stephanie Torres,Family Practice,Philadelphia,PA,REP-H342,Harold Blackwood,TERR-H02,2,8,6,5
1001000122,Dr. Richard Carter,Internal Medicine,Chicago,IL,REP-H280,Hattie Mercer,TERR-H12,2,6,5,4
1001000123,Dr. Laura Clark,Pain Management,Phoenix,AZ,REP-H296,Hayden Gallagher,TERR-H04,3,2,1,0
1001000124,Dr. Stephanie Hill,Oncology,Portland,OR,REP-H264,Hannah Mercer,TERR-H08,1,14,11,8
1001000125,Dr. Emily Harris,Palliative Care,Miami,FL,REP-H113,Hector Vance,TERR-H01,1,11,6,6
1001000126,Dr. Laura Gonzalez,Pain Management,Boston,MA,REP-H197,Hunter Monroe,TERR-H01,2,3,3,0
1001000127,Dr. Mary Rodriguez,Palliative Care,Denver,CO,REP-H269,Harrison Mercer,TERR-H01,3,5,4,5
1001000128,Dr. Karen Baker,Pain Management,Philadelphia,PA,REP-H261,Helen Mercer,TERR-H05,1,16,13,12
1001000129,Dr. Margaret Jones,Pain Management,Philadelphia,PA,REP-H370,Hope Whitman,TERR-H06,2,8,5,3
1001000130,Dr. Nancy Wright,Internal Medicine,Austin,TX,REP-H104,Hannah Vance,TERR-H04,2,7,6,0
1001000131,Dr. Sarah Walker,Pain Management,Detroit,MI,REP-H216,Hayden Bishop,TERR-H08,3,4,4,3
1001000132,Dr. Stephanie Taylor,Anesthesiology,Las Vegas,NV,REP-H371,Hugh Whitman,TERR-H07,3,3,2,1
1001000133,Dr. Sharon Torres,Palliative Care,Los Angeles,CA,REP-H130,Hope Finch,TERR-H06,3,3,2,1
1001000134,Dr. Sandra Rodriguez,Emergency Medicine,Atlanta,GA,REP-H181,Helen Monroe,TERR-H09,2,2,1,2
1001000135,Dr. Thomas Young,Internal Medicine,Austin,TX,REP-H215,Homer Bishop,TERR-H07,3,2,1,0
1001000136,Dr. Karen Scott,Pain Management,Columbus,OH,REP-H354,Hazel Blackwood,TERR-H02,2,7,6,0
1001000137,Dr. Joseph Rivera,Pain Management,Las Vegas,NV,REP-H351,Hugh Blackwood,TERR-H11,2,3,2,3
1001000138,Dr. Nancy King,Oncology,Charlotte,NC,REP-H224,Hannah Sinclair,TERR-H04,2,6,4,0
1001000139,Dr. Patricia Gonzalez,Anesthesiology,Miami,FL,REP-H101,Helen Vance,TERR-H01,2,9,6,0
1001000140,Dr. Michelle Davis,Family Practice,Philadelphia,PA,REP-H358,Hilda Blackwood,TERR-H06,3,2,2,2
1001000141,Dr. Donna Thomas,Family Practice,Boston,MA,REP-H170,Hope Hayes,TERR-H10,2,5,3,1
1001000142,Dr. John Campbell,Pain Management,Charlotte,NC,REP-H185,Henry Monroe,TERR-H01,2,11,6,3
1001000143,Dr. David Walker,Family Practice,Baltimore,MD,REP-H230,Hope Sinclair,TERR-H10,2,8,5,6
1001000144,Dr. Melissa King,Internal Medicine,Boston,MA,REP-H388,Harvey Carrington,TERR-H12,2,11,7,8
1001000145,Dr. Sandra Smith,Palliative Care,Seattle,WA,REP-H315,Homer Kensington,TERR-H11,3,4,3,0
1001000146,Dr. Kathleen Allen,Anesthesiology,Miami,FL,REP-H116,Hayden Vance,TERR-H04,3,7,5,1
1001000147,Dr. Jennifer Garcia,Palliative Care,Atlanta,GA,REP-H253,Hector Conway,TERR-H09,1,13,8,8
1001000148,Dr. Susan Anderson,Oncology,Denver,CO,REP-H186,Holly Monroe,TERR-H02,2,4,3,4
1001000149,Dr. Elizabeth Wilson,Neurology,Denver,CO,REP-H125,Henry Finch,TERR-H01,2,6,4,0
1001000150,Dr. Joseph Young,Pain Management,Los Angeles,CA,REP-H207,Heather Bishop,TERR-H11,1,15,9,2
1001000151,Dr. Patricia Flores,Pain Management,Columbus,OH,REP-H327,Heather Thornton,TERR-H11,1,13,10,10
1001000152,Dr. Sarah Hill,Oncology,Las Vegas,NV,REP-H178,Hilda Hayes,TERR-H06,2,10,9,8
1001000153,Dr. William Young,Anesthesiology,Nashville,TN,REP-H291,Hugh Gallagher,TERR-H11,3,10,7,3
1001000154,Dr. David Nelson,Family Practice,Las Vegas,NV,REP-H174,Hazel Hayes,TERR-H02,2,8,5,2
1001000155,Dr. James Lopez,Orthopedics,Boston,MA,REP-H233,Hector Sinclair,TERR-H01,3,2,1,1
1001000156,Dr. Deborah Flores,Oncology,Seattle,WA,REP-H189,Harrison Monroe,TERR-H05,2,12,12,10
1001000157,Dr. William Hall,Anesthesiology,Houston,TX,REP-H103,Howard Vance,TERR-H03,2,4,3,0
1001000158,Dr. Jennifer Rodriguez,Internal Medicine,Boston,MA,REP-H110,Hope Vance,TERR-H10,2,7,1,0
1001000159,Dr. Kimberly Ramirez,Anesthesiology,Las Vegas,NV,REP-H355,Homer Blackwood,TERR-H03,3,2,1,0
1001000160,Dr. Linda Rodriguez,Internal Medicine,Houston,TX,REP-H124,Hannah Finch,TERR-H12,2,7,3,2
1001000161,Dr. Donna Green,Pain Management,Los Angeles,CA,REP-H266,Holly Mercer,TERR-H10,3,2,2,2
1001000162,Dr. Jessica Lewis,Oncology,Detroit,MI,REP-H115,Homer Vance,TERR-H03,2,7,5,1
1001000163,Dr. Lisa Nguyen,Oncology,Jacksonville,FL,REP-H190,Hope Monroe,TERR-H06,1,15,10,9
1001000164,Dr. Jennifer Baker,Anesthesiology,Houston,TX,REP-H289,Harrison Gallagher,TERR-H09,1,11,7,6
1001000165,Dr. Lisa Clark,Oncology,Portland,OR,REP-H211,Hugh Bishop,TERR-H03,2,7,4,4
1001000166,Dr. Kathleen Lewis,Oncology,Las Vegas,NV,REP-H282,Harold Gallagher,TERR-H02,2,9,7,1
1001000167,Dr. Kimberly Robinson,Oncology,Los Angeles,CA,REP-H121,Helen Finch,TERR-H09,1,15,12,7
1001000168,Dr. Ashley Lopez,Palliative Care,Chicago,IL,REP-H182,Harold Monroe,TERR-H10,2,5,5,1
1001000169,Dr. Betty Smith,Family Practice,Denver,CO,REP-H315,Homer Kensington,TERR-H11,2,2,2,0
1001000170,Dr. David Perez,Oncology,Boston,MA,REP-H132,Hilary Finch,TERR-H08,3,2,2,2
1001000171,Dr. Susan Nelson,Pain Management,Phoenix,AZ,REP-H126,Holly Finch,TERR-H02,2,8,4,0
1001000172,Dr. Mary Flores,Family Practice,Miami,FL,REP-H199,Holden Monroe,TERR-H03,3,3,2,3
1001000173,Dr. Thomas Hernandez,Neurology,Portland,OR,REP-H106,Holly Vance,TERR-H06,3,4,3,3
1001000174,Dr. Nancy Sanchez,Anesthesiology,Phoenix,AZ,REP-H112,Hilary Vance,TERR-H12,2,4,2,0
1001000175,Dr. Elizabeth Harris,Pain Management,Seattle,WA,REP-H326,Holly Thornton,TERR-H10,2,8,5,1
1001000176,Dr. Betty Lewis,Neurology,Miami,FL,REP-H228,Harvey Sinclair,TERR-H08,2,3,2,2
1001000177,Dr. David Torres,Pain Management,Boston,MA,REP-H190,Hope Monroe,TERR-H06,2,13,10,5
1001000178,Dr. Ashley Garcia,Internal Medicine,Chicago,IL,REP-H316,Hayden Kensington,TERR-H12,1,6,5,6
1001000179,Dr. Emily Williams,Family Practice,Austin,TX,REP-H185,Henry Monroe,TERR-H01,2,2,1,2
1001000180,Dr. Robert Thompson,Pain Management,Las Vegas,NV,REP-H115,Homer Vance,TERR-H03,2,7,6,3
1001000181,Dr. Michael Nelson,Pain Management,Seattle,WA,REP-H299,Holden Gallagher,TERR-H07,2,4,3,3
1001000182,Dr. Jessica Mitchell,Orthopedics,Detroit,MI,REP-H128,Harvey Finch,TERR-H04,2,3,2,0
1001000183,Dr. Nancy Lopez,Palliative Care,Austin,TX,REP-H275,Homer Mercer,TERR-H07,3,5,4,2
1001000184,Dr. Dorothy Johnson,Pain Management,Detroit,MI,REP-H259,Holden Conway,TERR-H03,2,8,6,3
1001000185,Dr. Jennifer Carter,Neurology,Houston,TX,REP-H172,Hilary Hayes,TERR-H12,1,14,11,12
1001000186,Dr. Margaret Martinez,Family Practice,Jacksonville,FL,REP-H273,Hector Mercer,TERR-H05,2,7,3,4
1001000187,Dr. Ashley Moore,Palliative Care,Jacksonville,FL,REP-H156,Hayden Sterling,TERR-H08,2,5,3,3
1001000188,Dr. Lisa Hall,Pain Management,Baltimore,MD,REP-H311,Hugh Kensington,TERR-H07,1,8,4,1
1001000189,Dr. Nancy Torres,Anesthesiology,Miami,FL,REP-H230,Hope Sinclair,TERR-H10,2,2,1,0
1001000190,Dr. Patricia Allen,Anesthesiology,Los Angeles,CA,REP-H173,Hector Hayes,TERR-H01,1,13,8,1
1001000191,Dr. Karen Garcia,Family Practice,Miami,FL,REP-H308,Harvey Kensington,TERR-H04,2,8,6,2
1001000192,Dr. Dorothy Nguyen,Neurology,Nashville,TN,REP-H200,Hattie Monroe,TERR-H04,2,5,4,5
1001000193,Dr. Deborah Sanchez,Pain Management,Jacksonville,FL,REP-H252,Hilary Conway,TERR-H08,2,6,4,5
1001000194,Dr. Jessica Martinez,Oncology,Philadelphia,PA,REP-H104,Hannah Vance,TERR-H04,2,14,10,6
1001000195,Dr. Susan Wilson,Orthopedics,Charlotte,NC,REP-H246,Holly Conway,TERR-H02,2,6,5,1
1001000196,Dr. John Harris,Oncology,Boston,MA,REP-H330,Hope Thornton,TERR-H02,3,4,3,1
1001000197,Dr. Patricia Baker,Pain Management,Denver,CO,REP-H313,Hector Kensington,TERR-H09,1,6,5,6
1001000198,Dr. Sharon Nelson,Oncology,Atlanta,GA,REP-H199,Holden Monroe,TERR-H03,2,4,2,3
1001000199,Dr. Sandra Hernandez,Internal Medicine,Detroit,MI,REP-H190,Hope Monroe,TERR-H06,2,3,2,0
1001000200,Dr. Lisa Lewis,Oncology,Las Vegas,NV,REP-H347,Heather Blackwood,TERR-H07,3,4,2,0
1001000201,Dr. David Thomas,Palliative Care,Miami,FL,REP-H377,Hunter Whitman,TERR-H01,2,9,6,7
