Prscrbr_NPI,Physician_Name,Specialty,City,State,Brand_Name,Sales_Rep,Sales_Rep_Name,Territory,HCP_Tier,CMS_Volume_Decile,Target_Calls,Actual_Calls,Samples_Dropped,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Rx_Lift_Pct,Delta_Log_Fills,Post_Campaign_Fills,dataset_mode,Compliance_Pct,Monthly_Call_Frequency,Sample_Velocity,Log_Baseline_Fills,Diminishing_Call_Log,Tier_Compliance_Interaction,Sample_Call_Ratio,Baseline_Volume_Saturation,Compliance_Pct_raw,Monthly_Call_Frequency_raw,Sample_Velocity_raw,Log_Baseline_Fills_raw,Diminishing_Call_Log_raw,Tier_Compliance_Interaction_raw,Sample_Call_Ratio_raw,Tot_30day_Fills_raw,Tot_Drug_Cst_raw,Tot_Clms_raw
2001000001,Dr. Kathleen Garcia,Pain Management,Baltimore,MD,Abstral,REP-S664,Sarah Kowalski,TERR-S10,3,8.0,2,1,1,-1.3249302756901973,0.7072543354487678,0.5958924287063215,5.0307,0.04670448897867985,20.1174,synthetic,-1.1244163254332475,-1.198329681137286,0.5937505349345118,0.7861950254901966,-1.6863788313340304,0.06644076750610772,0.5937505349345118,1.2935781529418853,50.0,0.3333333333333333,1.0,3.003392856220602,0.6931471805599453,400.0,1.0,19.1538,34260.76,12.0
2001000002,Dr. Karen Jones,Oncology,Chicago,IL,Abstral,REP-S698,Summer Larsson,TERR-S02,2,8.0,5,5,1,-1.4998504413930756,0.5846208472636415,1.2682723979029527,5.7287,0.05291306233500004,19.4841,synthetic,1.7318818569804533,0.5843095139429743,-0.9441108074114024,0.6912021965958984,0.7827514065628568,1.7927478369067211,-0.9441108074114024,1.2304517118189864,100.0,1.6666666666666667,0.2,2.9667359131123994,1.791759469228055,800.0,0.2,18.4284,43311.68,11.0
2001000003,Dr. Donna Martin,Orthopedics,Columbus,OH,Subsys,REP-S672,Sienna Kowalski,TERR-S04,3,2.0,3,2,1,-0.10048911577004885,-0.8998969173506823,-1.246968705417867,2.6913,0.024089501140379,9.9068,synthetic,-0.1723169312953478,-0.752669882367221,-0.3674128040316846,-0.8673671759119597,-0.77509632596926,-1.0844306120943012,-0.3674128040316846,0.6299097720156586,66.66666666666666,0.6666666666666666,0.5,2.365296946790209,1.0986122886681098,133.33333333333331,0.5,9.6472,9453.97,19.0
2001000004,Dr. Jessica Wilson,Neurology,Jacksonville,FL,Actiq,REP-S514,Selena Brooks,TERR-S14,3,6.0,2,1,0,1.298872209852978,0.02115597805902919,0.40622254781527617,2.0681,0.019211125240298887,15.4076,synthetic,-1.1244163254332475,-1.198329681137286,-1.328576142997881,0.20349437082403876,-1.6863788313340304,-0.36513599984404566,-1.328576142997881,1.03317762183387,50.0,0.3333333333333333,0.0,2.7785335168806005,0.6931471805599453,300.0,0.0,15.0954,31707.61,27.0
2001000005,Dr. Sharon Allen,Oncology,New York,NY,Actiq,REP-S592,Sienna Nakamura,TERR-S08,2,3.0,9,5,2,-0.9750899442844405,-0.7277637250842147,-0.19153528846466553,8.1194,0.07160231902539183,11.5313,synthetic,-0.807049860720614,0.5843095139429743,-0.5596454718249239,-0.6306939033260565,0.7827514065628568,-0.9405716896442501,-0.5596454718249239,0.7121214911351077,55.55555555555556,1.6666666666666667,0.4,2.4566271954984282,1.791759469228055,166.66666666666669,0.4,10.6654,23661.18,14.0
2001000006,Dr. Deborah Gonzalez,Anesthesiology,Detroit,MI,Lazanda,REP-S611,Silas O'Connor,TERR-S13,3,6.0,5,4,5,-0.2754092814729272,-0.11968488078716416,-0.5997458200059503,8.7061,0.07821704043109001,15.504,synthetic,0.589362584014973,0.13864971517290903,1.07433220441761,0.06576717127827718,0.37298385385674826,0.41170218138623044,1.07433220441761,0.957169447903714,80.0,1.3333333333333333,1.25,2.7253857353378605,1.6094379124341003,480.0,1.25,14.2623,18166.25,18.0
2001000007,Dr. Michael Martin,Oncology,Jacksonville,FL,Abstral,REP-S811,Silas Vargas,TERR-S03,2,4.0,9,6,3,-0.9750899442844405,-0.5695100604990251,0.15655349754458128,6.2647,0.056073739683889734,12.3283,synthetic,-0.1723169312953478,1.0299693127130392,-0.3674128040316846,-0.430667156561974,1.1292049358741694,-0.5089949222940969,-0.3674128040316846,0.7746242503238464,66.66666666666666,2.0,0.5,2.5338158544908747,1.9459101490553132,266.66666666666663,0.5,11.6015,28346.81,14.0
2001000008,Dr. Laura King,Pain Management,Atlanta,GA,Subsys,REP-S517,Stanley Brooks,TERR-S03,2,4.0,5,2,0,-1.3249302756901973,-0.46991895505394937,-1.1169072359903733,3.3285,0.030300597117414618,12.5964,synthetic,-1.6956759619159878,-0.752669882367221,-1.328576142997881,-0.3122696849175829,-0.77509632596926,-0.9693434741342604,-1.328576142997881,0.8233088907294295,40.0,0.6666666666666666,0.0,2.579504454701453,1.0986122886681098,160.0,0.0,12.1906,11204.73,12.0
2001000009,Dr. Elizabeth Johnson,Palliative Care,Seattle,WA,Subsys,REP-S528,Serena Patel,TERR-S14,3,5.0,4,2,3,1.4737923755558562,-0.3678258153861831,-0.9460241933887102,4.7279,0.04291657705113616,13.3994,synthetic,-1.1244163254332475,-0.752669882367221,1.5549138739007082,-0.19626431692352544,-0.77509632596926,-0.5809243835191223,1.5549138739007082,0.8162842295040973,50.0,0.6666666666666666,1.5,2.6242699619960725,1.0986122886681098,250.0,1.5,12.7945,13504.99,28.0
2001000010,Dr. Lisa Flores,Pain Management,Nashville,TN,Subsys,REP-S548,Serena Chen,TERR-S06,2,7.0,7,5,1,-0.8001697785815622,0.30249958301861973,0.6329104267275921,6.0946,0.055919505710934736,17.781,synthetic,0.09971146702976721,0.5843095139429743,-0.9441108074114024,0.4584692793744957,0.7827514065628568,0.4980175348562611,-0.9441108074114024,1.1318825722334378,71.42857142857143,1.6666666666666667,0.2,2.876926214787866,1.791759469228055,500.0,0.2,16.7596,34759.06,15.0
2001000011,Dr. Lisa Lee,Pain Management,Portland,OR,Actiq,REP-S829,Seth Alvarez,TERR-S07,1,9.0,13,11,9,0.24935121563570783,1.1093718085631061,2.0837366241111215,10.3211,0.0940610965714388,23.7547,synthetic,0.8530208777762376,3.258268306563364,0.24423659349225868,1.0752953627028854,2.340599139094974,1.6267567725412777,0.24423659349225868,1.4542201662545213,84.61538461538461,3.6666666666666665,0.8181818181818182,3.1149542734046287,2.4849066497880004,761.5384615384615,0.8181818181818182,21.5324,54288.66,21.0
2001000012,Dr. Stephanie Martinez,Pain Management,Baltimore,MD,Fentora,REP-S702,Sophia Rossi,TERR-S06,2,4.0,9,4,2,-1.1500101099873188,-0.5286660423772626,-1.1346889498301713,4.6457,0.04194787977182335,12.3933,synthetic,-1.441782790145881,0.13864971517290903,-0.3674128040316846,-0.38145426021419915,0.37298385385674826,-0.8926187154942331,-0.3674128040316846,0.7998400016240141,44.44444444444444,1.3333333333333333,0.5,2.5528067021433603,1.6094379124341003,177.77777777777777,0.5,11.8431,10965.37,13.0
2001000013,Dr. Sharon Lopez,Anesthesiology,Miami,FL,Abstral,REP-S729,Seth Santos,TERR-S05,3,6.0,5,4,0,1.298872209852978,0.02178148661470192,0.34924840929941564,3.5575,0.03281767412230119,15.6362,synthetic,0.589362584014973,0.13864971517290903,-1.328576142997881,0.20409001186330922,0.37298385385674826,0.41170218138623044,-1.328576142997881,1.0133286504170413,80.0,1.3333333333333333,0.0,2.7787633698068013,1.6094379124341003,480.0,0.0,15.0991,30940.68,27.0
2001000014,Dr. Elizabeth Jones,Palliative Care,Atlanta,GA,Subsys,REP-S755,Stephen Tanaka,TERR-S03,3,4.0,4,2,3,-0.45032944717580553,-0.4514072829333657,-0.35000470981536647,2.1249,0.019455968024191694,12.5614,synthetic,-1.1244163254332475,-0.752669882367221,1.5549138739007082,-0.2908463178227791,-0.77509632596926,-0.796712767194199,1.5549138739007082,0.7847416977078705,50.0,0.6666666666666666,1.5,2.5877715539964345,1.0986122886681098,200.0,1.5,12.3001,21528.02,17.0
2001000015,Dr. Sandra Torres,Palliative Care,Atlanta,GA,Actiq,REP-S551,Silas Chen,TERR-S09,3,2.0,4,3,2,-1.4998504413930756,-1.0338571820844762,-0.5136527878830306,3.7371,0.03302612970752694,9.1857,synthetic,0.30373276577360286,-0.3070100835971559,-0.04702502437628586,-1.0677817041972801,-0.12853109880191332,-1.0125011508692756,-0.04702502437628586,0.5649328692338802,75.0,1.0,0.6666666666666666,2.2879586461318824,1.3862943611198906,150.0,0.6666666666666666,8.8548,19325.15,11.0
2001000016,Dr. Ashley Anderson,Pain Management,Houston,TX,Actiq,REP-S661,Samuel Kowalski,TERR-S07,1,2.0,13,8,7,-0.6252496128786839,-0.9622110940049936,-0.6971790034392191,11.2086,0.09638332623267276,10.3186,synthetic,-0.4652705910300857,1.9212889102531692,0.3534597001929627,-0.9586696939135974,1.6940339119276273,-1.1286948959250862,0.3534597001929627,0.626642976844625,61.53846153846154,2.6666666666666665,0.875,2.3300640639823307,2.1972245773362196,123.07692307692308,0.875,9.2786,16854.7,16.0
2001000017,Dr. Elizabeth Baker,Pain Management,Baltimore,MD,Subsys,REP-S530,Sadie Patel,TERR-S02,2,7.0,6,4,4,0.7741117127443429,0.1756734969468226,0.6911667860860118,7.0233,0.06401146773971433,17.1338,synthetic,-0.1723169312953478,0.13864971517290903,0.5937505349345118,0.3466242106895975,0.37298385385674826,0.3541586124062098,0.5937505349345118,1.0812167863143511,66.66666666666666,1.3333333333333333,1.0,2.833766132417044,1.6094379124341003,466.66666666666663,1.0,16.0094,35543.25,24.0
2001000018,Dr. Michael Taylor,Neurology,Detroit,MI,Lazanda,REP-S790,Sadie Gomez,TERR-S10,3,2.0,2,1,2,0.7741117127443429,-0.9877216996944553,-0.9516456100258156,3.1538,0.02803043816102946,9.4156,synthetic,-1.1244163254332475,-1.198329681137286,2.5160772128669047,-0.9969960438320726,-1.6863788313340304,-1.2282895345443523,2.5160772128669047,0.6247290816283779,50.0,0.3333333333333333,2.0,2.3152742441100336,0.6931471805599453,100.0,2.0,9.1277,13429.32,24.0
2001000019,Dr. Sandra Allen,Pain Management,Atlanta,GA,Lazanda,REP-S518,Summer Brooks,TERR-S04,1,2.0,10,9,9,-1.1500101099873188,-0.869990846134872,-0.5880914280140237,8.6631,0.07569180447465751,10.6752,synthetic,1.1606222204977132,2.3669487090232346,0.5937505349345118,-0.8246656011733724,1.930831586388866,-0.8830281206642296,0.5937505349345118,0.6634840675122625,90.0,3.0,1.0,2.381775129554561,2.302585092994046,180.0,1.0,9.8241,18323.13,13.0
2001000020,Dr. Kimberly King,Neurology,Seattle,WA,Lazanda,REP-S690,Sadie Larsson,TERR-S08,3,8.0,4,3,4,-0.6252496128786839,0.5805296831968092,-0.08195963708723307,5.2914,0.04896635006907735,19.378,synthetic,0.30373276577360286,-0.3070100835971559,1.2345260942453093,0.6879723378880802,-0.12853109880191332,0.9295943022064145,1.2345260942453093,1.2596425128022384,75.0,1.0,1.3333333333333333,2.965489537483016,1.3862943611198906,600.0,1.3333333333333333,18.4042,25136.18,16.0
