Prscrbr_NPI,Physician_Name,Specialty,City,State,Brand_Name,Sales_Rep,Sales_Rep_Name,Territory,HCP_Tier,CMS_Volume_Decile,Target_Calls,Actual_Calls,Samples_Dropped,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Rx_Lift_Pct,Delta_Log_Fills,Post_Campaign_Fills,dataset_mode
2001000001,Dr. Deborah Lee,Anesthesiology,Philadelphia,PA,Subsys,REP-S751,Silas Tanaka,TERR-S13,2,7,5,4,5,27,19.1948,21725.57,6.0883,0.056256,20.3635,synthetic
2001000002,Dr. Sharon Nelson,Oncology,Denver,CO,Fentora,REP-S772,Sienna Muller,TERR-S06,3,5,2,1,1,5,14.418,18431.83,2.2331,0.020667,14.74,synthetic
2001000003,Dr. Michael Moore,Emergency Medicine,Columbus,OH,Actiq,REP-S514,Selena Brooks,TERR-S14,3,5,5,4,4,20,12.3176,27629.75,3.1776,0.028967,12.709,synthetic
2001000004,Dr. Carol King,Oncology,Charlotte,NC,Subsys,REP-S845,Simon Kim,TERR-S09,3,9,5,3,1,14,26.1976,41969.18,5.2112,0.048977,27.5628,synthetic
2001000005,Dr. Melissa Perez,Oncology,Seattle,WA,Subsys,REP-S628,Serena Novak,TERR-S02,2,8,5,4,5,14,23.6589,32068.52,4.1467,0.039014,24.6399,synthetic
2001000006,Dr. Stephanie Wilson,Pain Management,Phoenix,AZ,Abstral,REP-S832,Sienna Alvarez,TERR-S10,3,3,3,2,0,19,6.5157,11362.42,0.5047,0.004366,6.5486,synthetic
2001000007,Dr. Nancy Lewis,Neurology,Baltimore,MD,Abstral,REP-S783,Sean Gomez,TERR-S03,2,5,5,3,2,22,12.5111,31420.5,4.4792,0.04064,13.0715,synthetic
2001000008,Dr. Ashley Adams,Anesthesiology,Los Angeles,CA,Actiq,REP-S780,Sloan Muller,TERR-S14,2,6,6,5,5,29,17.4134,38463.29,6.223,0.057184,18.497,synthetic
2001000009,Dr. Thomas Smith,Family Practice,Charlotte,NC,Lazanda,REP-S725,Simon Santos,TERR-S01,3,6,3,2,2,16,16.7992,15433.64,3.2208,0.029946,17.3403,synthetic
2001000010,Dr. Sandra Sanchez,Oncology,Jacksonville,FL,Abstral,REP-S839,Solomon Alvarez,TERR-S03,2,4,9,5,3,19,10.1955,11463.49,6.5276,0.057746,10.8611,synthetic
