Prscrbr_NPI,Physician_Name,Specialty,City,State,Brand_Name,Sales_Rep,Sales_Rep_Name,Territory,HCP_Tier,CMS_Volume_Decile,Target_Calls,Actual_Calls,Samples_Dropped,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Rx_Lift_Pct,Delta_Log_Fills,Post_Campaign_Fills,dataset_mode
1001000001,Dr. Margaret Thomas,Pain Management,Portland,OR,Abstral,REP-H148,Harvey Sterling,TERR-H12,2,6,10,6,4,18,15.2276,20444.41,8.323,0.075201,16.495,hybrid
1001000002,Dr. Mary Rivera,Pain Management,Miami,FL,Abstral,REP-H121,Helen Finch,TERR-H09,2,7,14,11,7,15,19.8443,48740.68,10.0425,0.091309,21.8371,hybrid
1001000003,Dr. Richard Davis,Neurology,Denver,CO,Abstral,REP-H331,Hugh Thornton,TERR-H03,1,10,16,10,1,13,30.5171,63802.11,6.3293,0.05948,32.4486,hybrid
1001000004,Dr. Emily Wilson,Pain Management,Detroit,MI,Abstral,REP-H167,Heather Hayes,TERR-H07,2,6,8,5,4,15,15.0563,16698.3,7.385,0.066958,16.1682,hybrid
1001000005,Dr. Emily Young,Oncology,Philadelphia,PA,Fentora,REP-H360,Hattie Blackwood,TERR-H08,3,3,4,3,4,8,7.4206,18111.39,5.2987,0.045637,7.8138,hybrid
1001000006,Dr. Richard Campbell,Oncology,Nashville,TN,Lazanda,REP-H210,Hope Bishop,TERR-H02,2,6,2,2,0,19,15.3798,20261.46,2.4569,0.022807,15.7576,hybrid
1001000007,Dr. Rebecca Lopez,Psychiatry,Austin,TX,Lazanda,REP-H376,Hayden Whitman,TERR-H12,1,9,6,5,6,27,25.0922,55152.95,6.3768,0.059517,26.6923,hybrid
1001000008,Dr. Sarah Nelson,Internal Medicine,Charlotte,NC,Subsys,REP-H245,Henry Conway,TERR-H01,2,5,7,4,0,17,14.3168,18700.22,4.0173,0.036862,14.8919,hybrid
1001000009,Dr. Dorothy Mitchell,Pain Management,Los Angeles,CA,Fentora,REP-H169,Harrison Hayes,TERR-H09,2,6,13,11,6,20,16.0249,30733.35,9.3576,0.084415,17.5245,hybrid
1001000010,Dr. Sarah Jackson,Internal Medicine,Columbus,OH,Actiq,REP-H188,Harvey Monroe,TERR-H04,2,7,13,9,6,20,18.2921,20406.2,6.5042,0.059843,19.4819,hybrid
1001000011,Dr. John King,Pain Management,Atlanta,GA,Abstral,REP-H292,Hilary Gallagher,TERR-H12,3,3,5,2,3,27,8.2873,13541.47,4.7766,0.041739,8.6832,hybrid
1001000012,Dr. Dorothy Campbell,Anesthesiology,Portland,OR,Abstral,REP-H345,Henry Blackwood,TERR-H05,2,6,10,3,0,13,16.0874,30650.55,-0.5816,-0.005491,15.9938,hybrid
1001000013,Dr. Barbara Johnson,Neurology,Jacksonville,FL,Actiq,REP-H378,Hilda Whitman,TERR-H02,2,5,7,4,3,17,12.846,24204.23,3.1041,0.028393,13.2447,hybrid
1001000014,Dr. John Thompson,Anesthesiology,Miami,FL,Subsys,REP-H333,Hector Thornton,TERR-H05,2,5,10,8,2,8,14.8102,21290.3,7.0794,0.06421,15.8587,hybrid
1001000015,Dr. Sarah Torres,Orthopedics,Detroit,MI,Abstral,REP-H128,Harvey Finch,TERR-H04,3,3,5,4,3,29,7.683,10191.71,3.9181,0.034081,7.984,hybrid
1001000016,Dr. Richard Harris,Orthopedics,Baltimore,MD,Actiq,REP-H294,Hazel Gallagher,TERR-H02,1,9,10,8,6,9,24.5136,37876.95,7.8675,0.07287,26.4422,hybrid
1001000017,Dr. Karen Johnson,Pain Management,Charlotte,NC,Lazanda,REP-H204,Hannah Bishop,TERR-H08,3,2,5,4,5,19,4.2216,4562.57,6.0503,0.047757,4.477,hybrid
1001000018,Dr. Kathleen Williams,Neurology,Houston,TX,Subsys,REP-H241,Helen Conway,TERR-H09,2,5,2,1,1,20,14.7812,35648.0,2.718,0.025139,15.1829,hybrid
1001000019,Dr. Jennifer Anderson,Pain Management,Jacksonville,FL,Subsys,REP-H174,Hazel Hayes,TERR-H02,2,5,5,3,1,30,14.7589,16192.36,5.0099,0.045853,15.4983,hybrid
1001000020,Dr. Nancy Moore,Pain Management,Austin,TX,Abstral,REP-H183,Howard Monroe,TERR-H11,2,7,15,8,1,15,20.6932,38005.31,6.6408,0.061421,22.0674,hybrid
1001000021,Dr. Barbara Torres,Anesthesiology,Los Angeles,CA,Subsys,REP-H350,Hope Blackwood,TERR-H10,2,5,8,6,5,25,13.4731,20812.72,8.0744,0.072474,14.561,hybrid
1001000022,Dr. David Robinson,Emergency Medicine,Charlotte,NC,Abstral,REP-H201,Helen Bishop,TERR-H05,1,9,7,6,3,11,25.9444,61178.37,1.6829,0.016074,26.3811,hybrid
1001000023,Dr. Sharon Scott,Anesthesiology,Atlanta,GA,Subsys,REP-H223,Howard Sinclair,TERR-H03,3,2,4,3,1,23,4.5052,10132.07,5.2714,0.042234,4.7426,hybrid
